,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,73.0,68.0,62.0,86.0,22.0,192.0,112.0,115.0,106.0,106.0,89.0,142.0,267.0,107.0,37.0,44.0,210.0,249.0,67.0,321.0,101.0,298.0,259.0,239.0,96.0,910.0,706.0,618.0,1062.0,451.0,252.0
1,38.0,18.0,42.0,46.0,50.0,116.0,95.0,33.0,31.0,52.0,112.0,93.0,104.0,316.0,215.0,265.0,1000.0,25.0,525.0,67.0,356.0,536.0,569.0,582.0,948.0,1034.0,41.0,1599.0,376.0,52.0,89.0
2,29.0,44.0,127.0,87.0,169.0,46.0,46.0,49.0,20.0,30.0,31.0,166.0,37.0,33.0,112.0,217.0,244.0,199.0,370.0,397.0,161.0,538.0,536.0,541.0,382.0,76.0,1936.0,399.0,61.0,210.0,202.0
3,27.0,58.0,,118.0,,25.0,162.0,230.0,47.0,121.0,66.0,246.0,122.0,97.0,60.0,202.0,256.0,590.0,31.0,1461.0,452.0,718.0,724.0,1784.0,1056.0,298.0,294.0,723.0,161.0,36.0,78.0
4,314.0,31.0,,,,26.0,49.0,,72.0,14.0,96.0,84.0,49.0,131.0,89.0,276.0,41.0,349.0,524.0,164.0,65.0,66.0,73.0,353.0,268.0,348.0,425.0,703.0,622.0,55.0,
5,,297.0,,,,41.0,,,218.0,100.0,156.0,45.0,137.0,98.0,162.0,138.0,270.0,56.0,36.0,485.0,27.0,205.0,270.0,302.0,280.0,1282.0,1194.0,,59.0,136.0,
6,,15.0,,,,187.0,,,39.0,49.0,34.0,122.0,117.0,78.0,122.0,96.0,156.0,440.0,67.0,1164.0,491.0,1786.0,406.0,1475.0,1555.0,82.0,52.0,,242.0,100.0,
7,,,,,,40.0,,,100.0,27.0,74.0,51.0,248.0,271.0,247.0,255.0,399.0,43.0,139.0,483.0,618.0,443.0,159.0,248.0,151.0,951.0,175.0,,,246.0,
8,,,,,,30.0,,,157.0,42.0,106.0,122.0,184.0,1301.0,140.0,612.0,991.0,178.0,1562.0,213.0,90.0,126.0,1237.0,127.0,53.0,85.0,169.0,,,,
9,,,,,,34.0,,,,97.0,369.0,215.0,244.0,316.0,204.0,436.0,319.0,44.0,460.0,536.0,108.0,190.0,293.0,1032.0,199.0,,806.0,,,,
10,,,,,,,,,,301.0,89.0,163.0,1016.0,37.0,107.0,110.0,172.0,68.0,335.0,122.0,464.0,292.0,178.0,110.0,1064.0,,,,,,
11,,,,,,,,,,54.0,133.0,186.0,196.0,240.0,272.0,815.0,74.0,130.0,44.0,731.0,75.0,116.0,91.0,,,,,,,,
12,,,,,,,,,,57.0,33.0,688.0,276.0,98.0,448.0,312.0,1296.0,1541.0,318.0,,506.0,916.0,140.0,,,,,,,,
13,,,,,,,,,,56.0,,103.0,87.0,,254.0,292.0,,284.0,931.0,,139.0,156.0,923.0,,,,,,,,
14,,,,,,,,,,117.0,,171.0,,,271.0,,,322.0,392.0,,455.0,,144.0,,,,,,,,
15,,,,,,,,,,,,85.0,,,,,,78.0,,,148.0,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,1212.0,,,916.0,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,,,,
